enhancer_chr,enhancer_chr_start,enhancer_chr_end,enhancer_id,promoter_chr,promoter_chr_start,promoter_chr_end,promoter_id,ENSG,gene_id,gene_type,reads_count,P-value,cell_line,methods
chr16,85548387,85639758,K562_SE_284,chr16,85640015,85651958,K562_MPT_5120,ENSG00000131149.13,GSE1,protein_coding,191,0.0,K562,RIC-seq
chr9,44875058,44880467,K562_TE_21948,chr9,67781277,67799111,K562_MPT_12859,ENSG00000232833.4,FAM27E3,protein_coding,178,1.35e-269,K562,RIC-seq
chr2,27975011,27989484,K562_TE_11210,chr2,27989584,27999584,K562_MPT_7181,ENSG00000243147.3,MRPL33,protein_coding,168,1.8199999999999997e-250,K562,RIC-seq
chr6,37391181,37396212,K562_TE_18439,chr6,37395996,37405996,K562_MPT_11058,ENSG00000137200.8,CMTR1,protein_coding,148,1.2300000000000001e-195,K562,RIC-seq
chr7,22686756,22758622,K562_SE_644,chr2,46721870,46731870,K562_MPT_7252,ENSG00000253515.1,RP11-417F21.2,lncRNA,143,8.85e-182,K562,RIC-seq
chr7,100101344,100169966,K562_TE_20170,chr4,44850,58210,K562_MPT_9618,ENSG00000197701.7,ZNF595,protein_coding,138,2.1500000000000002e-169,K562,RIC-seq
chr2,131962319,131968883,K562_TE_12057,chr2,130881795,130907707,K562_MPT_7619,ENSG00000152076.14,CCDC74B,protein_coding,135,1.39e-162,K562,RIC-seq
chr6,27909236,27919950,K562_TE_18285,chr6,27853570,27870344,K562_MPT_10914,ENSG00000197153.3,HIST1H3J,protein_coding,131,5.55e-154,K562,RIC-seq
chr22,42976262,42978519,K562_TE_14183,chr22,42910808,42920808,K562_MPT_8795,ENSG00000189306.6,RRP7A,protein_coding,124,3.67e-138,K562,RIC-seq
chr4,77852542,77865346,K562_TE_16180,chr4,77865856,77876015,K562_MPT_9855,ENSG00000138758.7,SEPT11,protein_coding,124,4.06e-138,K562,RIC-seq
chr9,66454703,66457717,K562_TE_21968,chr9,68403924,68420308,K562_MPT_12863,ENSG00000207277.1,RNA5SP284,rRNA,124,4.3799999999999995e-138,K562,RIC-seq
chr11,46002970,46039116,K562_SE_171,chr4,44850,58210,K562_MPT_9618,ENSG00000197701.7,ZNF595,protein_coding,115,1.25e-118,K562,RIC-seq
chr6,26166188,26176688,K562_TE_18260,chr6,26178958,26209858,K562_MPT_10877,ENSG00000217275.2,RP1-34B20.4,pseudogene,108,5.24e-106,K562,RIC-seq
chr12,7268607,7275690,K562_TE_4742,chr12,7268154,7289982,K562_MPT_2759,ENSG00000205885.3,C1RL-AS1,lncRNA,101,4.41e-93,K562,RIC-seq
chr3,195413396,195443188,K562_TE_15665,chr2,79735126,79746748,K562_MPT_7419,ENSG00000066032.14,CTNNA2,protein_coding,99,2.5499999999999997e-89,K562,RIC-seq
chr9,100797250,100812511,K562_TE_22225,chr9,100814021,100824021,K562_MPT_12984,ENSG00000095380.10,NANS,protein_coding,94,1.6e-81,K562,RIC-seq
chr19,53424232,53441284,K562_SE_351,chr19,53390541,53405946,K562_MPT_6967,ENSG00000182986.8,ZNF320,protein_coding,94,2.2e-81,K562,RIC-seq
chr9,46112543,46126893,K562_TE_21953,chr9,45722107,45743490,K562_MPT_12848,ENSG00000229523.1,RP11-7G23.4,pseudogene,89,4.3500000000000006e-73,K562,RIC-seq
chr2,88957856,88984894,K562_TE_11770,chr2,88986162,88996162,K562_MPT_7456,ENSG00000153574.8,RPIA,protein_coding,86,1.1399999999999998e-68,K562,RIC-seq
chr1,247500404,247535606,K562_TE_2416,chr1,247487547,247500045,K562_MPT_1425,ENSG00000162714.8,ZNF496,protein_coding,83,3.09e-64,K562,RIC-seq
chr11,85732139,85775705,K562_TE_4317,chr1,24013269,24024099,K562_MPT_224,ENSG00000142676.8,RPL11,protein_coding,81,2.73e-61,K562,RIC-seq
chr22,17517756,17518854,K562_TE_13760,chr21,11164720,11174788,K562_MPT_8371,ENSG00000271308.1,AP003900.6,lncRNA,80,2.13e-58,K562,RIC-seq
chr2,26074322,26090773,K562_TE_11172,chr4,44850,58210,K562_MPT_9618,ENSG00000197701.7,ZNF595,protein_coding,76,6.739999999999999e-54,K562,RIC-seq
chr3,101343943,101363344,K562_SE_476,chr3,101329670,101339670,K562_MPT_9213,ENSG00000252348.1,RNU6-1256P,snRNA,75,8.05e-53,K562,RIC-seq
chr6,27866722,27879998,K562_TE_18284,chr6,27853570,27870344,K562_MPT_10914,ENSG00000197153.3,HIST1H3J,protein_coding,74,2.16e-51,K562,RIC-seq
chr11,124060043,124121217,K562_SE_195,chr11,124050923,124060923,K562_MPT_2651,ENSG00000197309.2,OR10D3,protein_coding,73,3.19e-50,K562,RIC-seq
chr6,3163440,3219835,K562_SE_557,chr6,3148296,3162760,K562_MPT_10774,ENSG00000137267.5,TUBB2A,protein_coding,71,1.4800000000000002e-47,K562,RIC-seq
chr11,127611,131154,K562_TE_3500,chr1,128566,145339,K562_MPT_5,ENSG00000237683.5,AL627309.1,protein_coding,68,6.870000000000001e-44,K562,RIC-seq
chr1,142804945,142848352,K562_TE_1329,chr1,143190711,143201803,K562_MPT_798,ENSG00000232274.2,RP11-782C8.2,lncRNA,65,4.46e-40,K562,RIC-seq
chr1,16385235,16415960,K562_TE_220,chr1,16370284,16383818,K562_MPT_155,ENSG00000184908.13,CLCNKB,protein_coding,64,3e-39,K562,RIC-seq
chr5,179082566,179095432,K562_TE_17961,chr5,179038925,179066785,K562_MPT_10725,ENSG00000169045.13,HNRNPH1,protein_coding,64,3.67e-39,K562,RIC-seq
chr9,37079146,37105489,K562_TE_21896,chr9,37115536,37125602,K562_MPT_12812,ENSG00000147905.13,ZCCHC7,protein_coding,58,7.75e-33,K562,RIC-seq
chr3,101411036,101422500,K562_TE_14952,chr3,101390274,101410626,K562_MPT_9216,ENSG00000114391.8,RPL24,protein_coding,54,1.11e-28,K562,RIC-seq
chr20,52654849,52675137,K562_TE_13370,chr19,41094072,41124822,K562_MPT_6724,ENSG00000266164.1,RN7SL758P,misc_RNA,53,1.32e-27,K562,RIC-seq
chrX,86982591,86983838,K562_TE_23057,chrX,86973238,86983238,K562_MPT_13530,ENSG00000271205.1,RP1-138A5.2,pseudogene,50,8.63e-25,K562,RIC-seq
chr15,40833823,40852230,K562_TE_7161,chr2,207018918,207031952,K562_MPT_7849,ENSG00000207406.1,SNORA41,snoRNA,50,8.73e-25,K562,RIC-seq
chr3,40331629,40344723,K562_TE_14570,chr3,40346175,40356175,K562_MPT_8994,ENSG00000114784.3,EIF1B,protein_coding,49,6.72e-24,K562,RIC-seq
chr6,80252310,80256470,K562_TE_18678,chr6,80242125,80252175,K562_MPT_11187,ENSG00000135338.9,LCA5,protein_coding,48,1.05e-22,K562,RIC-seq
chr16,21510171,21577629,K562_SE_267,chr16,18932072,18946604,K562_MPT_4746,ENSG00000157106.12,SMG1,protein_coding,48,1.13e-22,K562,RIC-seq
chr13,20175670,20181011,K562_TE_5852,chr13,20202788,20212821,K562_MPT_3430,ENSG00000196199.9,MPHOSPH8,protein_coding,46,5.83e-21,K562,RIC-seq
chr8,47525980,47531034,K562_TE_21081,chr7,97494289,97506854,K562_MPT_11888,ENSG00000226744.1,AC079781.5,pseudogene,46,5.84e-21,K562,RIC-seq
chr13,108528157,108595890,K562_SE_221,chr13,108514083,108524083,K562_MPT_3632,ENSG00000204442.2,FAM155A,protein_coding,46,6.100000000000001e-21,K562,RIC-seq
chr1,44505462,44519927,K562_TE_678,chr1,44492032,44521865,K562_MPT_465,ENSG00000230615.2,RP5-1198O20.4,lncRNA,44,2.57e-19,K562,RIC-seq
chr7,84439385,84477729,K562_TE_20055,chr7,84500870,84510977,K562_MPT_11844,ENSG00000232605.1,HMGN2P11,pseudogene,43,1.64e-18,K562,RIC-seq
chr9,124217730,124226197,K562_TE_22391,chr9,124127483,124142519,K562_MPT_13070,ENSG00000227355.1,RP11-162D16.2,lncRNA,42,1.62e-17,K562,RIC-seq
chr9,68725067,68734935,K562_TE_21982,chr20,29606857,29616879,K562_MPT_8106,ENSG00000149531.10,FRG1B,protein_coding,42,2.44e-17,K562,RIC-seq
chr1,17181701,17200844,K562_TE_232,chr1,16855719,16884026,K562_MPT_165,ENSG00000233421.3,U1,lncRNA,48,4.05e-17,K562,KARR-seq
chr11,65235059,65278329,K562_SE_179,chr5,179038925,179066785,K562_MPT_10725,ENSG00000169045.13,HNRNPH1,protein_coding,53,4.95e-16,K562,RIC-seq
chr2,96675230,96701704,K562_TE_11783,chr2,97752443,97765619,K562_MPT_7486,ENSG00000144199.7,FAHD2B,protein_coding,40,5.31e-16,K562,RIC-seq
chr7,75767293,75796716,K562_TE_20025,chr7,65950046,65963773,K562_MPT_11768,ENSG00000223473.1,GS1-124K5.3,lncRNA,40,5.34e-16,K562,RIC-seq
chr7,99938728,99943115,K562_TE_20166,chr7,99797896,99826566,K562_MPT_11913,ENSG00000222482.1,AC005071.1,miRNA,40,5.34e-16,K562,RIC-seq
chr8,130546590,130605033,K562_SE_702,chr12,53710365,53723542,K562_MPT_2998,ENSG00000094914.8,AAAS,protein_coding,46,1.18e-15,K562,KARR-seq
chr4,6661684,6680625,K562_TE_15804,chr12,9908497,9918497,K562_MPT_2781,ENSG00000110848.4,CD69,protein_coding,39,1.75e-15,K562,RIC-seq
chr1,25564270,25567335,K562_TE_365,chr1,25553977,25563984,K562_MPT_238,ENSG00000117614.5,SYF2,protein_coding,39,1.75e-15,K562,RIC-seq
chr3,197945525,197948398,K562_TE_15722,chr1,128566,145339,K562_MPT_5,ENSG00000237683.5,AL627309.1,protein_coding,39,1.86e-15,K562,RIC-seq
chr12,122492127,122530639,K562_SE_213,chr12,122511628,122521628,K562_MPT_3344,ENSG00000175727.9,MLXIP,protein_coding,38,9.31e-15,K562,KARR-seq
chr14,50107407,50109021,K562_TE_6500,chr14,50082403,50106948,K562_MPT_3793,ENSG00000168282.4,MGAT2,protein_coding,38,9.84e-15,K562,RIC-seq
chr7,66308580,66313722,K562_TE_19916,chr7,65950046,65963773,K562_MPT_11768,ENSG00000223473.1,GS1-124K5.3,lncRNA,38,9.91e-15,K562,RIC-seq
chr6,26295397,26355127,K562_SE_578,chr6,26280737,26290762,K562_MPT_10882,ENSG00000158406.2,HIST1H4H,protein_coding,38,9.91e-15,K562,RIC-seq
chr18,756567,807069,K562_TE_9733,chr6,154826793,154836793,K562_MPT_11439,ENSG00000153721.13,CNKSR3,protein_coding,38,1.02e-14,K562,RIC-seq
chr4,79866783,79878397,K562_TE_16200,chr4,79855548,79865592,K562_MPT_9866,ENSG00000163291.10,PAQR3,protein_coding,37,5.5e-14,K562,RIC-seq
chr5,1631541,1653904,K562_TE_16818,chr5,266631,277827,K562_MPT_10142,ENSG00000248925.1,CTD-2083E4.6,lncRNA,37,5.55e-14,K562,RIC-seq
chr7,102124202,102169318,K562_TE_20205,chr7,102241897,102262204,K562_MPT_11950,ENSG00000238997.1,AC105052.1,miRNA,37,5.56e-14,K562,RIC-seq
chr1,142804945,142848352,K562_TE_1329,chr1,143372281,143397450,K562_MPT_799,ENSG00000238261.5,RP11-435B5.5,lncRNA,37,6.37e-14,K562,RIC-seq
chr9,69064284,69073348,K562_TE_21985,chr20,29606857,29616879,K562_MPT_8106,ENSG00000149531.10,FRG1B,protein_coding,37,6.37e-14,K562,RIC-seq
chr5,84748001,84749420,K562_TE_17292,chr5,84925230,84935230,K562_MPT_10366,ENSG00000265704.1,AC010595.1,miRNA,36,3.21e-13,K562,RIC-seq
chr1,44215053,44249975,K562_TE_670,chr19,53188739,53198749,K562_MPT_6962,ENSG00000167766.14,ZNF83,protein_coding,35,3.64e-13,K562,KARR-seq
chr2,69809230,69861767,K562_TE_11609,chr2,217554187,217565248,K562_MPT_7877,ENSG00000115461.4,IGFBP5,protein_coding,34,7.33e-13,K562,KARR-seq
chr15,66880235,66981717,K562_SE_249,chr15,66989566,66999674,K562_MPT_4363,ENSG00000137834.10,SMAD6,protein_coding,35,1.86e-12,K562,RIC-seq
chr4,87862867,87899182,K562_TE_16269,chr14,105185523,105201071,K562_MPT_4074,ENSG00000185100.6,ADSSL1,protein_coding,31,6.97e-12,K562,KARR-seq
chr13,41736084,41736822,K562_TE_5994,chr13,41701882,41711882,K562_MPT_3509,ENSG00000165572.6,KBTBD6,protein_coding,34,7.12e-12,K562,RIC-seq
chr1,36700668,36723932,K562_TE_543,chr21,47643682,47654438,K562_MPT_8513,ENSG00000215424.5,MCM3AP-AS1,lncRNA,30,7.52e-12,K562,KARR-seq
chr16,21510171,21577629,K562_SE_267,chr16,87892245,87908094,K562_MPT_5131,ENSG00000103257.4,SLC7A5,protein_coding,34,8.14e-12,K562,RIC-seq
chr5,53545021,53626040,K562_SE_532,chr5,53601403,53611412,K562_MPT_10256,ENSG00000185305.6,ARL15,protein_coding,29,3e-11,K562,KARR-seq
chr7,128152174,128182652,K562_TE_20431,chr17,60550200,60563482,K562_MPT_5734,ENSG00000146872.13,TLK2,protein_coding,33,3.26e-11,K562,RIC-seq
chr16,85210066,85383708,K562_SE_282,chr16,85199882,85209882,K562_MPT_5115,ENSG00000262601.1,CTC-786C10.1,protein_coding,33,3.45e-11,K562,RIC-seq
chrX,133666293,133703814,K562_TE_23265,chr16,71511039,71528254,K562_MPT_5049,ENSG00000157429.11,ZNF19,protein_coding,28,6.18e-11,K562,KARR-seq
chr16,2703822,2737802,K562_TE_7877,chr16,2576409,2593165,K562_MPT_4639,ENSG00000205923.2,CEMP1,protein_coding,27,9.99e-11,K562,KARR-seq
chr10,135451071,135464930,K562_TE_3496,chr4,190954554,190967497,K562_MPT_10139,ENSG00000250053.1,RARRES2P4,pseudogene,32,1.08e-10,K562,RIC-seq
chr4,48287634,48307335,K562_TE_15997,chr4,48266881,48276881,K562_MPT_9778,ENSG00000135605.8,TEC,protein_coding,31,3.12e-10,K562,RIC-seq
chr1,144689689,144709813,K562_TE_1348,chr1,144984309,145000082,K562_MPT_812,ENSG00000268172.1,AL590452.1,protein_coding,32,3.15e-10,K562,RIC-seq
chr6,15551873,15629523,K562_SE_570,chr16,90031199,90044056,K562_MPT_5164,ENSG00000177946.4,CENPBD1,protein_coding,31,3.15e-10,K562,RIC-seq
chr11,126211321,126219492,K562_TE_4634,chr11,126220555,126230869,K562_MPT_2674,ENSG00000110080.14,ST3GAL4,protein_coding,24,9.21e-10,K562,KARR-seq
chr9,98251249,98262570,K562_TE_22187,chr5,154130135,154141734,K562_MPT_10623,ENSG00000155506.12,LARP1,protein_coding,24,9.21e-10,K562,KARR-seq
chr9,42250158,42252253,K562_TE_21934,chr9,70641589,70651589,K562_MPT_12871,ENSG00000269337.1,AL591479.1,protein_coding,30,9.3e-10,K562,RIC-seq
chr15,91428543,91440077,K562_TE_7747,chr15,91440448,91455618,K562_MPT_4550,ENSG00000196547.10,MAN2A2,protein_coding,30,9.3e-10,K562,RIC-seq
chr1,168187906,168190577,K562_TE_1678,chr1,168179643,168189643,K562_MPT_1068,ENSG00000237131.1,RP1-69E11.3,pseudogene,30,9.32e-10,K562,RIC-seq
chr17,21514140,21518182,K562_TE_8921,chr20,26109834,26119834,K562_MPT_8103,ENSG00000230440.1,RP13-329D4.3,lncRNA,30,1.02e-09,K562,RIC-seq
chr6,3021307,3063968,K562_SE_556,chr6,2993977,3009401,K562_MPT_10769,ENSG00000124588.15,NQO2,protein_coding,30,1.04e-09,K562,RIC-seq
chr20,45924291,45970176,K562_SE_408,chr7,45138839,45156646,K562_MPT_11714,ENSG00000136270.9,TBRG4,protein_coding,23,2.1e-09,K562,KARR-seq
chr22,19958250,19963739,K562_TE_13798,chr1,167900278,167911278,K562_MPT_1064,ENSG00000143158.6,MPC2,protein_coding,23,2.38e-09,K562,KARR-seq
chr6,68585750,68609380,K562_SE_605,chr17,26893546,26911424,K562_MPT_5385,ENSG00000087111.16,PIGS,protein_coding,28,3.93e-09,K562,KARR-seq
chr17,43656816,43679227,K562_TE_9190,chr17,62909903,62928862,K562_MPT_5762,ENSG00000176809.6,LRRC37A3,protein_coding,28,1.08e-08,K562,RIC-seq
chr7,74304564,74307643,K562_TE_19990,chr7,99923500,99944531,K562_MPT_11916,ENSG00000272752.1,STAG3L5P-PVRIG2P-PILRB,lncRNA,28,1.08e-08,K562,RIC-seq
chr2,85190669,85192629,K562_TE_11719,chr2,85193216,85204324,K562_MPT_7425,ENSG00000176407.13,KCMF1,protein_coding,28,1.08e-08,K562,RIC-seq
chr12,116553715,116655574,K562_TE_5637,chr9,101564981,101574981,K562_MPT_12990,ENSG00000119514.5,GALNT12,protein_coding,2,1.14e-08,K562,KARR-seq
chr8,124201063,124210060,K562_TE_21533,chr22,20051685,20078581,K562_MPT_8554,ENSG00000221366.1,MIR1306,miRNA,2,1.14e-08,K562,KARR-seq
chr4,123926,126110,K562_TE_15725,chr4,44850,58210,K562_MPT_9618,ENSG00000248302.2,Z95704.4,pseudogene,22,1.58e-08,K562,KARR-seq
chr3,15082131,15098135,K562_TE_14396,chr1,27015622,27027895,K562_MPT_266,ENSG00000260063.1,RP5-968P14.2,lncRNA,22,1.62e-08,K562,KARR-seq
chr16,14579100,14603249,K562_TE_8004,chr16,33934259,33951021,K562_MPT_4903,ENSG00000265616.1,AC136932.2,miRNA,22,1.73e-08,K562,KARR-seq
chr17,15859224,15888052,K562_TE_8824,chr19,18737718,18752867,K562_MPT_6531,ENSG00000167487.7,KLHL26,protein_coding,22,1.73e-08,K562,KARR-seq
chr2,158146764,158160556,K562_TE_12198,chr2,159308214,159318624,K562_MPT_7676,ENSG00000153237.13,CCDC148,protein_coding,21,1.85e-08,K562,KARR-seq
chr19,49600928,49610186,K562_TE_10819,chr5,77067085,77077185,K562_MPT_10343,ENSG00000171530.9,TBCA,protein_coding,21,1.86e-08,K562,KARR-seq
chr15,69089651,69107634,K562_TE_7489,chr19,5785276,5796249,K562_MPT_6286,ENSG00000141994.11,DUS3L,protein_coding,21,1.89e-08,K562,KARR-seq
chr3,126679909,126701785,K562_TE_15091,chr3,126702437,126712437,K562_MPT_9301,ENSG00000114554.7,PLXNA1,protein_coding,21,1.95e-08,K562,KARR-seq
chr19,47390480,47437298,K562_TE_10763,chr8,120840103,120850103,K562_MPT_12586,ENSG00000064313.7,TAF2,protein_coding,21,1.95e-08,K562,KARR-seq
chr7,128152174,128182652,K562_TE_20431,chr17,32361891,32371891,K562_MPT_5435,ENSG00000226049.3,TLK2P1,pseudogene,21,1.95e-08,K562,KARR-seq
chr11,68103089,68115767,K562_TE_4126,chr2,43814559,43828185,K562_MPT_7239,ENSG00000115970.14,THADA,protein_coding,21,1.95e-08,K562,KARR-seq
chr8,130452382,130513523,K562_TE_21615,chr12,57903933,57948827,K562_MPT_3069,ENSG00000175203.11,DCTN2,protein_coding,26,2.45e-08,K562,KARR-seq
chr8,23127421,23134385,K562_TE_20907,chr1,1238269,1265621,K562_MPT_28,ENSG00000224051.2,GLTPD1,protein_coding,27,3.55e-08,K562,RIC-seq
chr6,68585750,68609380,K562_SE_605,chr20,54962187,54972707,K562_MPT_8301,ENSG00000087586.13,AURKA,protein_coding,23,5.23e-08,K562,KARR-seq
chr5,95033036,95077466,K562_SE_537,chr15,89076913,89094906,K562_MPT_4519,ENSG00000221391.1,AC013489.1,miRNA,23,6.83e-08,K562,RIC-seq
chr1,24041711,24061665,K562_TE_332,chr1,24064645,24074962,K562_MPT_225,ENSG00000011007.8,TCEB3,protein_coding,23,6.83e-08,K562,RIC-seq
chr15,69264573,69290639,K562_TE_7491,chr9,100740643,100754938,K562_MPT_12982,ENSG00000236896.1,RP11-535C21.3,lncRNA,23,6.83e-08,K562,RIC-seq
chr3,52331872,52342110,K562_TE_14728,chr3,52345335,52355335,K562_MPT_9107,ENSG00000114841.13,DNAH1,protein_coding,22,7.72e-08,K562,RIC-seq
chr11,117817208,117851382,K562_TE_4543,chr11,117852063,117862109,K562_MPT_2608,ENSG00000110324.5,IL10RA,protein_coding,21,8.89e-08,K562,RIC-seq
chr9,45739172,45744807,K562_TE_21952,chr9,44862571,44879008,K562_MPT_12845,ENSG00000204814.5,RP11-160N1.10,protein_coding,21,8.89e-08,K562,RIC-seq
chr16,74462762,74483483,K562_TE_8508,chr16,70142529,70153275,K562_MPT_5037,ENSG00000090857.9,PDPR,protein_coding,21,8.89e-08,K562,RIC-seq
chr18,14179103,14185353,K562_TE_9843,chr21,15431646,15448192,K562_MPT_8376,ENSG00000249493.1,ANKRD20A18P,pseudogene,21,8.89e-08,K562,RIC-seq
chr3,186654509,186678245,K562_TE_15615,chr14,69653137,69663809,K562_MPT_3897,ENSG00000081177.14,EXD2,protein_coding,21,8.89e-08,K562,RIC-seq
chr22,21194469,21240469,K562_SE_436,chr7,75926861,75937894,K562_MPT_11833,ENSG00000106211.8,HSPB1,protein_coding,22,9.58e-08,K562,RIC-seq
chr17,20769482,20780745,K562_TE_8907,chr20,26109834,26119834,K562_MPT_8103,ENSG00000230440.1,RP13-329D4.3,lncRNA,22,1.08e-07,K562,RIC-seq
chr6,27082504,27095518,K562_TE_18277,chr6,27095327,27120405,K562_MPT_10900,ENSG00000124635.7,HIST1H2BJ,protein_coding,22,1.11e-07,K562,RIC-seq
chr9,68446876,68456536,K562_TE_21980,chr4,190855896,190867056,K562_MPT_10137,ENSG00000245685.2,AF146191.4,lncRNA,22,1.12e-07,K562,RIC-seq
chr11,85802540,85930107,K562_SE_187,chr11,85950586,85961276,K562_MPT_2514,ENSG00000074266.13,EED,protein_coding,21,1.16e-07,K562,RIC-seq
chr11,67079779,67089886,K562_TE_4107,chr11,67154423,67176660,K562_MPT_2380,ENSG00000172613.3,RAD9A,protein_coding,26,1.17e-07,K562,RIC-seq
chr4,87933401,87964832,K562_TE_16271,chr8,41904505,41914508,K562_MPT_12369,ENSG00000083168.5,KAT6A,protein_coding,20,1.22e-07,K562,KARR-seq
chr7,148543453,148572852,K562_TE_20642,chr19,12802395,12812457,K562_MPT_6416,ENSG00000132004.8,FBXW9,protein_coding,20,1.29e-07,K562,KARR-seq
chr2,198833398,198870516,K562_TE_12513,chr21,40711463,40726573,K562_MPT_8460,ENSG00000200344.1,Y_RNA,misc_RNA,20,1.31e-07,K562,KARR-seq
chr1,246294272,246388032,K562_SE_112,chr11,120202787,120212946,K562_MPT_2643,ENSG00000196914.4,ARHGEF12,protein_coding,20,1.61e-07,K562,KARR-seq
chr6,68585750,68609380,K562_SE_605,chr19,39133310,39143378,K562_MPT_6682,ENSG00000130402.7,ACTN4,protein_coding,28,1.85e-07,K562,KARR-seq
chr11,65167965,65217131,K562_SE_178,chr17,38591169,38604713,K562_MPT_5506,ENSG00000240125.1,RP11-58O9.1,pseudogene,20,1.94e-07,K562,KARR-seq
chr6,68585750,68609380,K562_SE_605,chr4,129202942,129219088,K562_MPT_10002,ENSG00000164040.12,PGRMC2,protein_coding,20,1.99e-07,K562,KARR-seq
chr7,64494805,64506960,K562_TE_19883,chr7,65333254,65343356,K562_MPT_11763,ENSG00000196715.5,VKORC1L1,protein_coding,20,2.45e-07,K562,RIC-seq
chr11,642576,642981,K562_TE_3513,chr17,44891126,44901126,K562_MPT_5608,ENSG00000108379.5,WNT3,protein_coding,20,2.45e-07,K562,RIC-seq
chr1,109111296,109142436,K562_TE_1173,chr19,55846221,55856254,K562_MPT_7007,ENSG00000133247.9,SUV420H2,protein_coding,20,2.45e-07,K562,RIC-seq
chr1,193080607,193085364,K562_TE_1878,chr1,193086147,193096147,K562_MPT_1160,ENSG00000134371.9,CDC73,protein_coding,20,2.45e-07,K562,RIC-seq
chr17,16331212,16347829,K562_SE_293,chr2,3617795,3633160,K562_MPT_7079,ENSG00000171863.8,RPS7,protein_coding,2,2.59e-07,K562,KARR-seq
chr3,128914259,128931144,K562_TE_15121,chr3,128897742,128907765,K562_MPT_9318,ENSG00000169714.12,CNBP,protein_coding,24,2.64e-07,K562,RIC-seq
chr12,50432766,50445758,K562_TE_5062,chr12,50446331,50458670,K562_MPT_2952,ENSG00000110881.7,ASIC1,protein_coding,24,2.64e-07,K562,RIC-seq
chr16,46607350,46618051,K562_TE_8272,chr9,68403924,68420308,K562_MPT_12863,ENSG00000207277.1,RNA5SP284,rRNA,24,2.65e-07,K562,RIC-seq
chr16,88938381,88973032,K562_TE_8642,chr16,88917628,88938068,K562_MPT_5144,ENSG00000141012.8,GALNS,protein_coding,24,2.69e-07,K562,RIC-seq
chr9,132617858,132658432,K562_SE_733,chr2,219182896,219204426,K562_MPT_7884,ENSG00000239166.1,snoU13,snoRNA,25,2.99e-07,K562,RIC-seq
chr6,7195029,7219836,K562_SE_562,chr5,162925120,162937620,K562_MPT_10651,ENSG00000038274.12,MAT2B,protein_coding,25,2.99e-07,K562,RIC-seq
chr6,28632682,28871154,K562_SE_587,chr6,28611042,28621843,K562_MPT_10926,ENSG00000235570.1,LINC00533,lncRNA,25,3.06e-07,K562,RIC-seq
chr11,116829093,116842047,K562_TE_4529,chr1,228286163,228302013,K562_MPT_1334,ENSG00000162910.14,MRPL55,protein_coding,19,4.52e-07,K562,RIC-seq
chr6,147477377,147518540,K562_SE_625,chr2,153568887,153579495,K562_MPT_7668,ENSG00000177917.6,ARL6IP6,protein_coding,19,4.52e-07,K562,RIC-seq
chr19,244452,252821,K562_TE_10172,chr16,56553,77910,K562_MPT_4593,ENSG00000233614.5,DDX11L10,pseudogene,19,4.52e-07,K562,RIC-seq
chr10,99407223,99434005,K562_TE_3226,chr13,93874095,93884095,K562_MPT_3602,ENSG00000183098.6,GPC6,protein_coding,19,4.52e-07,K562,RIC-seq
chr12,122115936,122125560,K562_TE_5714,chr12,122102560,122112560,K562_MPT_3337,ENSG00000139714.8,MORN3,protein_coding,19,4.54e-07,K562,RIC-seq
