gene_chr	gene_chr_start	gene_chr_end	ENSG	gene_id	gene_type	strand	promoter_chr	promoter_chr_start	promoter_chr_end	promoter_id	enhancer_chr	enhancer_chr_start	enhancer_chr_end	enhancer_id	reads_count	P-value	cell_line	methods
chr19	44830708	44871377	ENSG00000062370.12	ZNF112	protein_coding	-	chr19	44855826	44865834	K562_MPT_6787	chr2	133094911	133105350	K562_TE_12065	208	0.00e+2	K562	RIC-seq
chr5	84930230	84930291	ENSG00000265704.1	AC010595.1	miRNA	+	chr5	84925230	84935230	K562_MPT_10366	chr5	84933881	84944654	K562_TE_17293	204	0.00e+2	K562	RIC-seq
chr16	85645015	85709810	ENSG00000131149.13	GSE1	protein_coding	+	chr16	85640015	85651958	K562_MPT_5120	chr16	85548387	85639758	K562_SE_284	191	0.00e+2	K562	RIC-seq
chr9	67784944	67786624	ENSG00000232833.4	FAM27E3	protein_coding	-	chr9	67781277	67799111	K562_MPT_12859	chr9	44875058	44880467	K562_TE_21948	178	1.35e-269	K562	RIC-seq
chr9	67789326	67789530	ENSG00000229198.2	RP11-12A20.4	pseudogene	-	chr9	67781277	67799111	K562_MPT_12859	chr9	44875058	44880467	K562_TE_21948	178	1.35e-269	K562	RIC-seq
chr9	67792938	67794111	ENSG00000170215.4	FAM27B	protein_coding	-	chr9	67781277	67799111	K562_MPT_12859	chr9	44875058	44880467	K562_TE_21948	178	1.35e-269	K562	RIC-seq
chr9	67785634	67786684	ENSG00000170217.6	RP11-12A20.2	pseudogene	+	chr9	67781277	67799111	K562_MPT_12859	chr9	44875058	44880467	K562_TE_21948	178	1.35e-269	K562	RIC-seq
chr9	67789674	67789866	ENSG00000233172.2	RP11-12A20.6	pseudogene	+	chr9	67781277	67799111	K562_MPT_12859	chr9	44875058	44880467	K562_TE_21948	178	1.35e-269	K562	RIC-seq
chr9	67792167	67794649	ENSG00000236233.3	RP11-12A20.7	pseudogene	+	chr9	67781277	67799111	K562_MPT_12859	chr9	44875058	44880467	K562_TE_21948	178	1.35e-269	K562	RIC-seq
chr2	27994584	28210954	ENSG00000243147.3	MRPL33	protein_coding	+	chr2	27989584	27999584	K562_MPT_7181	chr2	27975011	27989484	K562_TE_11210	168	1.82e-250	K562	RIC-seq
chr6	37400995	37450603	ENSG00000137200.8	CMTR1	protein_coding	+	chr6	37395996	37405996	K562_MPT_11058	chr6	37391181	37396212	K562_TE_18439	148	1.23e-195	K562	RIC-seq
chr2	46726870	46728417	ENSG00000253515.1	RP11-417F21.2	lncRNA	+	chr2	46721870	46731870	K562_MPT_7252	chr7	22686756	22758622	K562_SE_644	143	8.85e-182	K562	RIC-seq
chr4	53179	88099	ENSG00000197701.7	ZNF595	protein_coding	+	chr4	44850	58210	K562_MPT_9618	chr7	100101344	100169966	K562_TE_20170	138	2.15e-169	K562	RIC-seq
chr4	48991	50018	ENSG00000248302.2	Z95704.4	pseudogene	-	chr4	44850	58210	K562_MPT_9618	chr7	100101344	100169966	K562_TE_20170	138	2.15e-169	K562	RIC-seq
chr2	130896860	130902707	ENSG00000152076.14	CCDC74B	protein_coding	-	chr2	130881795	130907707	K562_MPT_7619	chr2	131962319	131968883	K562_TE_12057	135	1.39e-162	K562	RIC-seq
chr2	130887194	130896990	ENSG00000223760.4	MED15P9	pseudogene	+	chr2	130881795	130907707	K562_MPT_7619	chr2	131962319	131968883	K562_TE_12057	135	1.39e-162	K562	RIC-seq
chr2	130831108	130886795	ENSG00000196604.7	POTEF	protein_coding	-	chr2	130881795	130907707	K562_MPT_7619	chr2	131962319	131968883	K562_TE_12057	135	1.39e-162	K562	RIC-seq
chr6	27858093	27860884	ENSG00000197153.3	HIST1H3J	protein_coding	-	chr6	27853570	27870344	K562_MPT_10914	chr6	27909236	27919950	K562_TE_18285	131	5.55e-154	K562	RIC-seq
chr6	27860477	27860963	ENSG00000233224.1	HIST1H2AM	protein_coding	-	chr6	27853570	27870344	K562_MPT_10914	chr6	27909236	27919950	K562_TE_18285	131	5.55e-154	K562	RIC-seq
chr6	27865282	27865344	ENSG00000238610.1	RNU7-26P	snRNA	-	chr6	27853570	27870344	K562_MPT_10914	chr6	27909236	27919950	K562_TE_18285	131	5.55e-154	K562	RIC-seq
chr6	27861203	27861669	ENSG00000196331.5	HIST1H2BO	protein_coding	+	chr6	27853570	27870344	K562_MPT_10914	chr6	27909236	27919950	K562_TE_18285	131	5.55e-154	K562	RIC-seq
chr9	68408924	68409041	ENSG00000207277.1	RNA5SP284	rRNA	+	chr9	68403924	68420308	K562_MPT_12863	chr9	66454703	66457717	K562_TE_21968	124	4.38e-138	K562	RIC-seq
chr9	68413482	68414196	ENSG00000232815.1	LINC00537	pseudogene	-	chr9	68403924	68420308	K562_MPT_12863	chr9	66454703	66457717	K562_TE_21968	124	4.38e-138	K562	RIC-seq
chr9	68397878	68409893	ENSG00000225411.2	RP11-764K9.1	lncRNA	-	chr9	68403924	68420308	K562_MPT_12863	chr9	66454703	66457717	K562_TE_21968	124	4.38e-138	K562	RIC-seq
chr9	68415308	68415388	ENSG00000266017.1	MIR4477B	miRNA	+	chr9	68403924	68420308	K562_MPT_12863	chr9	66454703	66457717	K562_TE_21968	124	4.38e-138	K562	RIC-seq
chr4	77870856	77961537	ENSG00000138758.7	SEPT11	protein_coding	+	chr4	77865856	77876015	K562_MPT_9855	chr4	77852542	77865346	K562_TE_16180	124	4.06e-138	K562	RIC-seq
chr22	42905974	42915808	ENSG00000189306.6	RRP7A	protein_coding	-	chr22	42910808	42920808	K562_MPT_8795	chr22	42976262	42978519	K562_TE_14183	124	3.67e-138	K562	RIC-seq
chr4	53179	88099	ENSG00000197701.7	ZNF595	protein_coding	+	chr4	44850	58210	K562_MPT_9618	chr11	46002970	46039116	K562_SE_171	115	1.25e-118	K562	RIC-seq
chr4	48991	50018	ENSG00000248302.2	Z95704.4	pseudogene	-	chr4	44850	58210	K562_MPT_9618	chr11	46002970	46039116	K562_SE_171	115	1.25e-118	K562	RIC-seq
chr6	26202384	26202882	ENSG00000217275.2	RP1-34B20.4	pseudogene	+	chr6	26178958	26209858	K562_MPT_10877	chr6	26166188	26176688	K562_TE_18260	108	5.24e-106	K562	RIC-seq
chr6	26204858	26206266	ENSG00000198518.5	HIST1H4E	protein_coding	+	chr6	26178958	26209858	K562_MPT_10877	chr6	26166188	26176688	K562_TE_18260	108	5.24e-106	K562	RIC-seq
chr6	26188938	26189304	ENSG00000188987.2	HIST1H4D	protein_coding	-	chr6	26178958	26209858	K562_MPT_10877	chr6	26166188	26176688	K562_TE_18260	108	5.24e-106	K562	RIC-seq
chr6	26199079	26199471	ENSG00000196866.2	HIST1H2AD	protein_coding	-	chr6	26178958	26209858	K562_MPT_10877	chr6	26166188	26176688	K562_TE_18260	108	5.24e-106	K562	RIC-seq
chr6	26199748	26200942	ENSG00000197846.3	HIST1H2BF	protein_coding	+	chr6	26178958	26209858	K562_MPT_10877	chr6	26166188	26176688	K562_TE_18260	108	5.24e-106	K562	RIC-seq
chr6	26195794	26195999	ENSG00000216331.1	HIST1H1PS1	pseudogene	+	chr6	26178958	26209858	K562_MPT_10877	chr6	26166188	26176688	K562_TE_18260	108	5.24e-106	K562	RIC-seq
chr6	26197068	26199521	ENSG00000197409.6	HIST1H3D	protein_coding	-	chr6	26178958	26209858	K562_MPT_10877	chr6	26166188	26176688	K562_TE_18260	108	5.24e-106	K562	RIC-seq
chr6	26183958	26184454	ENSG00000197697.3	HIST1H2BE	protein_coding	+	chr6	26178958	26209858	K562_MPT_10877	chr6	26166188	26176688	K562_TE_18260	108	5.24e-106	K562	RIC-seq
chr12	7260648	7275097	ENSG00000205885.3	C1RL-AS1	lncRNA	+	chr12	7268154	7289982	K562_MPT_2759	chr12	7268607	7275690	K562_TE_4742	101	4.41e-93	K562	RIC-seq
chr12	7276280	7281538	ENSG00000139194.3	RBP5	protein_coding	-	chr12	7268154	7289982	K562_MPT_2759	chr12	7268607	7275690	K562_TE_4742	101	4.41e-93	K562	RIC-seq
chr12	7281675	7283794	ENSG00000256967.1	RP11-273B20.1	lncRNA	-	chr12	7268154	7289982	K562_MPT_2759	chr12	7268607	7275690	K562_TE_4742	101	4.41e-93	K562	RIC-seq
chr12	7282294	7311541	ENSG00000139182.9	CLSTN3	protein_coding	+	chr12	7268154	7289982	K562_MPT_2759	chr12	7268607	7275690	K562_TE_4742	101	4.41e-93	K562	RIC-seq
chr2	79412357	80875905	ENSG00000066032.14	CTNNA2	protein_coding	+	chr2	79735126	79746748	K562_MPT_7419	chr3	195413396	195443188	K562_TE_15665	99	2.55e-89	K562	RIC-seq
chr9	100819021	100845357	ENSG00000095380.10	NANS	protein_coding	+	chr9	100814021	100824021	K562_MPT_12984	chr9	100797250	100812511	K562_TE_22225	94	1.60e-81	K562	RIC-seq
chr19	53367043	53400946	ENSG00000182986.8	ZNF320	protein_coding	-	chr19	53390541	53405946	K562_MPT_6967	chr19	53424232	53441284	K562_SE_351	94	2.20e-81	K562	RIC-seq
chr9	45729709	45730417	ENSG00000229523.1	RP11-7G23.4	pseudogene	+	chr9	45722107	45743490	K562_MPT_12848	chr9	46112543	46126893	K562_TE_21953	89	4.35e-73	K562	RIC-seq
chr9	45733559	45734896	ENSG00000204807.1	FAM27E2	protein_coding	+	chr9	45722107	45743490	K562_MPT_12848	chr9	46112543	46126893	K562_TE_21953	89	4.35e-73	K562	RIC-seq
chr9	45733441	45734160	ENSG00000184879.4	RP11-7G23.8	pseudogene	-	chr9	45722107	45743490	K562_MPT_12848	chr9	46112543	46126893	K562_TE_21953	89	4.35e-73	K562	RIC-seq
chr9	45737473	45738490	ENSG00000231517.2	RP11-7G23.5	pseudogene	-	chr9	45722107	45743490	K562_MPT_12848	chr9	46112543	46126893	K562_TE_21953	89	4.35e-73	K562	RIC-seq
chr9	45727107	45728274	ENSG00000182368.4	FAM27A	protein_coding	+	chr9	45722107	45743490	K562_MPT_12848	chr9	46112543	46126893	K562_TE_21953	89	4.35e-73	K562	RIC-seq
chr2	88991162	89050452	ENSG00000153574.8	RPIA	protein_coding	+	chr2	88986162	88996162	K562_MPT_7456	chr2	88957856	88984894	K562_TE_11770	86	1.14e-68	K562	RIC-seq
chr1	247460714	247495148	ENSG00000162714.8	ZNF496	protein_coding	-	chr1	247487547	247500045	K562_MPT_1425	chr1	247500404	247535606	K562_TE_2416	83	3.09e-64	K562	RIC-seq
chr1	24018269	24022915	ENSG00000142676.8	RPL11	protein_coding	+	chr1	24013269	24024099	K562_MPT_224	chr11	85732139	85775705	K562_TE_4317	81	2.73e-61	K562	RIC-seq
chr21	11169720	11184046	ENSG00000271308.1	AP003900.6	lncRNA	+	chr21	11164720	11174788	K562_MPT_8371	chr22	17517756	17518854	K562_TE_13760	80	2.13e-58	K562	RIC-seq
chr4	53179	88099	ENSG00000197701.7	ZNF595	protein_coding	+	chr4	44850	58210	K562_MPT_9618	chr2	26074322	26090773	K562_TE_11172	76	6.74e-54	K562	RIC-seq
chr4	48991	50018	ENSG00000248302.2	Z95704.4	pseudogene	-	chr4	44850	58210	K562_MPT_9618	chr2	26074322	26090773	K562_TE_11172	76	6.74e-54	K562	RIC-seq
chr3	101334670	101334772	ENSG00000252348.1	RNU6-1256P	snRNA	+	chr3	101329670	101339670	K562_MPT_9213	chr3	101343943	101363344	K562_SE_476	75	8.05e-53	K562	RIC-seq
chr6	27858093	27860884	ENSG00000197153.3	HIST1H3J	protein_coding	-	chr6	27853570	27870344	K562_MPT_10914	chr6	27866722	27879998	K562_TE_18284	74	2.16e-51	K562	RIC-seq
chr6	27860477	27860963	ENSG00000233224.1	HIST1H2AM	protein_coding	-	chr6	27853570	27870344	K562_MPT_10914	chr6	27866722	27879998	K562_TE_18284	74	2.16e-51	K562	RIC-seq
chr6	27865282	27865344	ENSG00000238610.1	RNU7-26P	snRNA	-	chr6	27853570	27870344	K562_MPT_10914	chr6	27866722	27879998	K562_TE_18284	74	2.16e-51	K562	RIC-seq
chr6	27861203	27861669	ENSG00000196331.5	HIST1H2BO	protein_coding	+	chr6	27853570	27870344	K562_MPT_10914	chr6	27866722	27879998	K562_TE_18284	74	2.16e-51	K562	RIC-seq
chr11	124055923	124056952	ENSG00000197309.2	OR10D3	protein_coding	+	chr11	124050923	124060923	K562_MPT_2651	chr11	124060043	124121217	K562_SE_195	73	3.19e-50	K562	RIC-seq
chr6	3153903	3157760	ENSG00000137267.5	TUBB2A	protein_coding	-	chr6	3148296	3162760	K562_MPT_10774	chr6	3163440	3219835	K562_SE_557	71	1.48e-47	K562	RIC-seq
chr6	3138628	3153296	ENSG00000228170.1	RP1-40E16.11	lncRNA	-	chr6	3148296	3162760	K562_MPT_10774	chr6	3163440	3219835	K562_SE_557	71	1.48e-47	K562	RIC-seq
chr1	134901	139379	ENSG00000237683.5	AL627309.1	protein_coding	-	chr1	128566	145339	K562_MPT_5	chr11	127611	131154	K562_TE_3500	68	6.87e-44	K562	RIC-seq
chr1	135141	135895	ENSG00000268903.1	RP11-34P13.15	pseudogene	-	chr1	128566	145339	K562_MPT_5	chr11	127611	131154	K562_TE_3500	68	6.87e-44	K562	RIC-seq
chr1	89295	133566	ENSG00000238009.2	RP11-34P13.7	lncRNA	-	chr1	128566	145339	K562_MPT_5	chr11	127611	131154	K562_TE_3500	68	6.87e-44	K562	RIC-seq
chr1	137682	137965	ENSG00000269981.1	RP11-34P13.16	pseudogene	-	chr1	128566	145339	K562_MPT_5	chr11	127611	131154	K562_TE_3500	68	6.87e-44	K562	RIC-seq
chr1	139790	140339	ENSG00000239906.1	RP11-34P13.14	lncRNA	-	chr1	128566	145339	K562_MPT_5	chr11	127611	131154	K562_TE_3500	68	6.87e-44	K562	RIC-seq
chr1	143118704	143211070	ENSG00000232274.2	RP11-782C8.2	lncRNA	-	chr1	143190711	143201803	K562_MPT_798	chr1	142804945	142848352	K562_TE_1329	65	4.46e-40	K562	RIC-seq
chr1	16370272	16383803	ENSG00000184908.13	CLCNKB	protein_coding	+	chr1	16370284	16383818	K562_MPT_155	chr1	16385235	16415960	K562_TE_220	64	3.00e-39	K562	RIC-seq
chr5	179041179	179061785	ENSG00000169045.13	HNRNPH1	protein_coding	-	chr5	179038925	179066785	K562_MPT_10725	chr5	179082566	179095432	K562_TE_17961	64	3.67e-39	K562	RIC-seq
chr9	37120536	37358146	ENSG00000147905.13	ZCCHC7	protein_coding	+	chr9	37115536	37125602	K562_MPT_12812	chr9	37079146	37105489	K562_TE_21896	58	7.75e-33	K562	RIC-seq
chr3	101399935	101405626	ENSG00000114391.8	RPL24	protein_coding	-	chr3	101390274	101410626	K562_MPT_9216	chr3	101411036	101422500	K562_TE_14952	54	1.11e-28	K562	RIC-seq
chr3	101367733	101396339	ENSG00000066422.4	ZBTB11	protein_coding	-	chr3	101390274	101410626	K562_MPT_9216	chr3	101411036	101422500	K562_TE_14952	54	1.11e-28	K562	RIC-seq
chr3	101395274	101398061	ENSG00000256628.2	ZBTB11-AS1	lncRNA	+	chr3	101390274	101410626	K562_MPT_9216	chr3	101411036	101422500	K562_TE_14952	54	1.11e-28	K562	RIC-seq
chr19	41112673	41112955	ENSG00000266164.1	RN7SL758P	misc_RNA	-	chr19	41094072	41124822	K562_MPT_6724	chr20	52654849	52675137	K562_TE_13370	53	1.32e-27	K562	RIC-seq
chr19	41098789	41135725	ENSG00000090006.13	LTBP4	protein_coding	+	chr19	41094072	41124822	K562_MPT_6724	chr20	52654849	52675137	K562_TE_13370	53	1.32e-27	K562	RIC-seq
chr5	179041179	179061785	ENSG00000169045.13	HNRNPH1	protein_coding	-	chr5	179038925	179066785	K562_MPT_10725	chr11	65235059	65278329	K562_SE_179	53	4.95e-16	K562	RIC-seq
chrX	86978089	86978238	ENSG00000271205.1	RP1-138A5.2	pseudogene	-	chrX	86973238	86983238	K562_MPT_13530	chrX	86982591	86983838	K562_TE_23057	50	8.63e-25	K562	RIC-seq
chr2	207026952	207027083	ENSG00000207406.1	SNORA41	snoRNA	+	chr2	207018918	207031952	K562_MPT_7849	chr15	40833823	40852230	K562_TE_7161	50	8.73e-25	K562	RIC-seq
chr2	206979541	207024327	ENSG00000023228.9	NDUFS1	protein_coding	-	chr2	207018918	207031952	K562_MPT_7849	chr15	40833823	40852230	K562_TE_7161	50	8.73e-25	K562	RIC-seq
chr2	207026602	207026681	ENSG00000207047.2	SNORD51	snoRNA	+	chr2	207018918	207031952	K562_MPT_7849	chr15	40833823	40852230	K562_TE_7161	50	8.73e-25	K562	RIC-seq
chr2	207024309	207027652	ENSG00000114942.9	EEF1B2	protein_coding	+	chr2	207018918	207031952	K562_MPT_7849	chr15	40833823	40852230	K562_TE_7161	50	8.73e-25	K562	RIC-seq
chr3	40351175	40353915	ENSG00000114784.3	EIF1B	protein_coding	+	chr3	40346175	40356175	K562_MPT_8994	chr3	40331629	40344723	K562_TE_14570	49	6.72e-24	K562	RIC-seq
chr6	80194708	80247175	ENSG00000135338.9	LCA5	protein_coding	-	chr6	80242125	80252175	K562_MPT_11187	chr6	80252310	80256470	K562_TE_18678	48	1.05e-22	K562	RIC-seq
chr16	18816175	18937776	ENSG00000157106.12	SMG1	protein_coding	-	chr16	18932072	18946604	K562_MPT_4746	chr16	21510171	21577629	K562_SE_267	48	1.13e-22	K562	RIC-seq
chr16	18941518	18941604	ENSG00000265515.1	AC092287.1	miRNA	-	chr16	18932072	18946604	K562_MPT_4746	chr16	21510171	21577629	K562_SE_267	48	1.13e-22	K562	RIC-seq
chr16	18938185	18948365	ENSG00000260352.1	CTD-2288F12.1	lncRNA	+	chr16	18932072	18946604	K562_MPT_4746	chr16	21510171	21577629	K562_SE_267	48	1.13e-22	K562	RIC-seq
chr13	20207788	20247599	ENSG00000196199.9	MPHOSPH8	protein_coding	+	chr13	20202788	20212821	K562_MPT_3430	chr13	20175670	20181011	K562_TE_5852	46	5.83e-21	K562	RIC-seq
chr13	107820883	108519083	ENSG00000204442.2	FAM155A	protein_coding	-	chr13	108514083	108524083	K562_MPT_3632	chr13	108528157	108595890	K562_SE_221	46	6.10e-21	K562	RIC-seq
chr7	97499479	97499601	ENSG00000226744.1	AC079781.5	pseudogene	+	chr7	97494289	97506854	K562_MPT_11888	chr8	47525980	47531034	K562_TE_21081	46	5.84e-21	K562	RIC-seq
chr7	97481430	97501854	ENSG00000070669.12	ASNS	protein_coding	-	chr7	97494289	97506854	K562_MPT_11888	chr8	47525980	47531034	K562_TE_21081	46	5.84e-21	K562	RIC-seq
chr1	44501798	44570647	ENSG00000230615.2	RP5-1198O20.4	lncRNA	+	chr1	44492032	44521865	K562_MPT_465	chr1	44505462	44519927	K562_TE_678	44	2.57e-19	K562	RIC-seq
chr1	44457172	44497139	ENSG00000196517.7	SLC6A9	protein_coding	-	chr1	44492032	44521865	K562_MPT_465	chr1	44505462	44519927	K562_TE_678	44	2.57e-19	K562	RIC-seq
chr7	84505870	84506272	ENSG00000232605.1	HMGN2P11	pseudogene	+	chr7	84500870	84510977	K562_MPT_11844	chr7	84439385	84477729	K562_TE_20055	43	1.64e-18	K562	RIC-seq
chr9	124137519	124214455	ENSG00000227355.1	RP11-162D16.2	lncRNA	+	chr9	124127483	124142519	K562_MPT_13070	chr9	124217730	124226197	K562_TE_22391	42	1.62e-17	K562	RIC-seq
chr9	124101355	124132531	ENSG00000148175.8	STOM	protein_coding	-	chr9	124127483	124142519	K562_MPT_13070	chr9	124217730	124226197	K562_TE_22391	42	1.62e-17	K562	RIC-seq
chr20	29611857	29634010	ENSG00000149531.10	FRG1B	protein_coding	+	chr20	29606857	29616879	K562_MPT_8106	chr9	68725067	68734935	K562_TE_21982	42	2.44e-17	K562	RIC-seq
chr7	65956083	65958553	ENSG00000223473.1	GS1-124K5.3	lncRNA	-	chr7	65950046	65963773	K562_MPT_11768	chr7	75767293	75796716	K562_TE_20025	40	5.34e-16	K562	RIC-seq
chr7	65958693	65960461	ENSG00000237310.1	GS1-124K5.4	lncRNA	+	chr7	65950046	65963773	K562_MPT_11768	chr7	75767293	75796716	K562_TE_20025	40	5.34e-16	K562	RIC-seq
chr7	65874130	65955046	ENSG00000230189.2	GS1-124K5.2	pseudogene	-	chr7	65950046	65963773	K562_MPT_11768	chr7	75767293	75796716	K562_TE_20025	40	5.34e-16	K562	RIC-seq
chr7	65947788	65955095	ENSG00000244510.1	GS1-124K5.7	pseudogene	-	chr7	65950046	65963773	K562_MPT_11768	chr7	75767293	75796716	K562_TE_20025	40	5.34e-16	K562	RIC-seq
chr7	99817650	99817743	ENSG00000222482.1	AC005071.1	miRNA	-	chr7	99797896	99826566	K562_MPT_11913	chr7	99938728	99943115	K562_TE_20166	40	5.34e-16	K562	RIC-seq
chr7	99775186	99819111	ENSG00000066923.13	STAG3	protein_coding	+	chr7	99797896	99826566	K562_MPT_11913	chr7	99938728	99943115	K562_TE_20166	40	5.34e-16	K562	RIC-seq
chr7	99815864	99819113	ENSG00000213413.2	PVRIG	protein_coding	+	chr7	99797896	99826566	K562_MPT_11913	chr7	99938728	99943115	K562_TE_20166	40	5.34e-16	K562	RIC-seq
chr7	99798276	99869837	ENSG00000239521.3	GATS	pseudogene	-	chr7	99797896	99826566	K562_MPT_11913	chr7	99938728	99943115	K562_TE_20166	40	5.34e-16	K562	RIC-seq
chr2	97749320	97760619	ENSG00000144199.7	FAHD2B	protein_coding	-	chr2	97752443	97765619	K562_MPT_7486	chr2	96675230	96701704	K562_TE_11783	40	5.31e-16	K562	RIC-seq
chr12	9905082	9913497	ENSG00000110848.4	CD69	protein_coding	-	chr12	9908497	9918497	K562_MPT_2781	chr4	6661684	6680625	K562_TE_15804	39	1.75e-15	K562	RIC-seq
chr1	25549170	25558993	ENSG00000117614.5	SYF2	protein_coding	-	chr1	25553977	25563984	K562_MPT_238	chr1	25564270	25567335	K562_TE_365	39	1.75e-15	K562	RIC-seq
chr1	134901	139379	ENSG00000237683.5	AL627309.1	protein_coding	-	chr1	128566	145339	K562_MPT_5	chr3	197945525	197948398	K562_TE_15722	39	1.86e-15	K562	RIC-seq
chr1	135141	135895	ENSG00000268903.1	RP11-34P13.15	pseudogene	-	chr1	128566	145339	K562_MPT_5	chr3	197945525	197948398	K562_TE_15722	39	1.86e-15	K562	RIC-seq
chr1	89295	133566	ENSG00000238009.2	RP11-34P13.7	lncRNA	-	chr1	128566	145339	K562_MPT_5	chr3	197945525	197948398	K562_TE_15722	39	1.86e-15	K562	RIC-seq
chr1	137682	137965	ENSG00000269981.1	RP11-34P13.16	pseudogene	-	chr1	128566	145339	K562_MPT_5	chr3	197945525	197948398	K562_TE_15722	39	1.86e-15	K562	RIC-seq
chr1	139790	140339	ENSG00000239906.1	RP11-34P13.14	lncRNA	-	chr1	128566	145339	K562_MPT_5	chr3	197945525	197948398	K562_TE_15722	39	1.86e-15	K562	RIC-seq
chr7	65956083	65958553	ENSG00000223473.1	GS1-124K5.3	lncRNA	-	chr7	65950046	65963773	K562_MPT_11768	chr7	66308580	66313722	K562_TE_19916	38	9.91e-15	K562	RIC-seq
chr7	65958693	65960461	ENSG00000237310.1	GS1-124K5.4	lncRNA	+	chr7	65950046	65963773	K562_MPT_11768	chr7	66308580	66313722	K562_TE_19916	38	9.91e-15	K562	RIC-seq
chr7	65874130	65955046	ENSG00000230189.2	GS1-124K5.2	pseudogene	-	chr7	65950046	65963773	K562_MPT_11768	chr7	66308580	66313722	K562_TE_19916	38	9.91e-15	K562	RIC-seq
chr7	65947788	65955095	ENSG00000244510.1	GS1-124K5.7	pseudogene	-	chr7	65950046	65963773	K562_MPT_11768	chr7	66308580	66313722	K562_TE_19916	38	9.91e-15	K562	RIC-seq
chrX	151121596	151143152	ENSG00000102287.12	GABRE	protein_coding	-	chrX	151138143	151148151	K562_MPT_13682	chr11	65235059	65278329	K562_SE_179	38	1.61e-2	K562	RIC-seq
chr6	26281283	26285762	ENSG00000158406.2	HIST1H4H	protein_coding	-	chr6	26280737	26290762	K562_MPT_10882	chr6	26295397	26355127	K562_SE_578	38	9.91e-15	K562	RIC-seq
