pair_id,enhancer_chr,enhancer_chr_start,enhancer_chr_end,enhancer_id,promoter_chr,promoter_chr_start,promoter_chr_end,promoter_id,ENSG,gene_id,gene_type,reads_count,P-value,cell_line,methods,interaction_type
K562_EP_0012,chr2,131962319,131968883,K562_TE_12057,chr2,130881795,130907707,K562_MPT_7619,ENSG00000152076.14,CCDC74B,protein_coding,135,1.39e-162,K562,RIC-seq,cis_same_chromosome
K562_EP_0013,chr6,27909236,27919950,K562_TE_18285,chr6,27853570,27870344,K562_MPT_10914,ENSG00000197153.3,HIST1H3J,protein_coding,131,5.55e-154,K562,RIC-seq,cis_same_chromosome
K562_EP_0014,chr22,42976262,42978519,K562_TE_14183,chr22,42910808,42920808,K562_MPT_8795,ENSG00000189306.6,RRP7A,protein_coding,124,3.67e-138,K562,RIC-seq,cis_same_chromosome
K562_EP_0015,chr4,77852542,77865346,K562_TE_16180,chr4,77865856,77876015,K562_MPT_9855,ENSG00000138758.7,SEPT11,protein_coding,124,4.06e-138,K562,RIC-seq,cis_same_chromosome
K562_EP_0016,chr9,66454703,66457717,K562_TE_21968,chr9,68403924,68420308,K562_MPT_12863,ENSG00000207277.1,RNA5SP284,rRNA,124,4.3799999999999995e-138,K562,RIC-seq,cis_same_chromosome
K562_EP_0017,chr6,26166188,26176688,K562_TE_18260,chr6,26178958,26209858,K562_MPT_10877,ENSG00000217275.2,RP1-34B20.4,pseudogene,108,5.24e-106,K562,RIC-seq,cis_same_chromosome
K562_EP_0018,chr12,7268607,7275690,K562_TE_4742,chr12,7268154,7289982,K562_MPT_2759,ENSG00000205885.3,C1RL-AS1,lncRNA,101,4.41e-93,K562,RIC-seq,cis_same_chromosome
K562_EP_0019,chr9,100797250,100812511,K562_TE_22225,chr9,100814021,100824021,K562_MPT_12984,ENSG00000095380.10,NANS,protein_coding,94,1.6000000000000002e-81,K562,RIC-seq,cis_same_chromosome
K562_EP_0020,chr19,53424232,53441284,K562_SE_351,chr19,53390541,53405946,K562_MPT_6967,ENSG00000182986.8,ZNF320,protein_coding,94,2.2e-81,K562,RIC-seq,cis_same_chromosome
K562_EP_0021,chr9,46112543,46126893,K562_TE_21953,chr9,45722107,45743490,K562_MPT_12848,ENSG00000229523.1,RP11-7G23.4,pseudogene,89,4.3500000000000006e-73,K562,RIC-seq,cis_same_chromosome
K562_EP_0022,chr2,88957856,88984894,K562_TE_11770,chr2,88986162,88996162,K562_MPT_7456,ENSG00000153574.8,RPIA,protein_coding,86,1.1399999999999998e-68,K562,RIC-seq,cis_same_chromosome
K562_EP_0023,chr1,247500404,247535606,K562_TE_2416,chr1,247487547,247500045,K562_MPT_1425,ENSG00000162714.8,ZNF496,protein_coding,83,3.09e-64,K562,RIC-seq,cis_same_chromosome
K562_EP_0024,chr3,101343943,101363344,K562_SE_476,chr3,101329670,101339670,K562_MPT_9213,ENSG00000252348.1,RNU6-1256P,snRNA,75,8.05e-53,K562,RIC-seq,cis_same_chromosome
K562_EP_0025,chr6,27866722,27879998,K562_TE_18284,chr6,27853570,27870344,K562_MPT_10914,ENSG00000197153.3,HIST1H3J,protein_coding,74,2.16e-51,K562,RIC-seq,cis_same_chromosome
K562_EP_0026,chr11,124060043,124121217,K562_SE_195,chr11,124050923,124060923,K562_MPT_2651,ENSG00000197309.2,OR10D3,protein_coding,73,3.19e-50,K562,RIC-seq,cis_same_chromosome
K562_EP_0027,chr6,3163440,3219835,K562_SE_557,chr6,3148296,3162760,K562_MPT_10774,ENSG00000137267.5,TUBB2A,protein_coding,71,1.4800000000000002e-47,K562,RIC-seq,cis_same_chromosome
K562_EP_0028,chr1,142804945,142848352,K562_TE_1329,chr1,143190711,143201803,K562_MPT_798,ENSG00000232274.2,RP11-782C8.2,lncRNA,65,4.46e-40,K562,RIC-seq,cis_same_chromosome
K562_EP_0029,chr1,16385235,16415960,K562_TE_220,chr1,16370284,16383818,K562_MPT_155,ENSG00000184908.13,CLCNKB,protein_coding,64,3e-39,K562,RIC-seq,cis_same_chromosome
K562_EP_0030,chr5,179082566,179095432,K562_TE_17961,chr5,179038925,179066785,K562_MPT_10725,ENSG00000169045.13,HNRNPH1,protein_coding,64,3.67e-39,K562,RIC-seq,cis_same_chromosome
K562_EP_0031,chr9,37079146,37105489,K562_TE_21896,chr9,37115536,37125602,K562_MPT_12812,ENSG00000147905.13,ZCCHC7,protein_coding,58,7.75e-33,K562,RIC-seq,cis_same_chromosome
K562_EP_0032,chr3,101411036,101422500,K562_TE_14952,chr3,101390274,101410626,K562_MPT_9216,ENSG00000114391.8,RPL24,protein_coding,54,1.11e-28,K562,RIC-seq,cis_same_chromosome
K562_EP_0033,chrX,86982591,86983838,K562_TE_23057,chrX,86973238,86983238,K562_MPT_13530,ENSG00000271205.1,RP1-138A5.2,pseudogene,50,8.63e-25,K562,RIC-seq,cis_same_chromosome
K562_EP_0034,chr3,40331629,40344723,K562_TE_14570,chr3,40346175,40356175,K562_MPT_8994,ENSG00000114784.3,EIF1B,protein_coding,49,6.72e-24,K562,RIC-seq,cis_same_chromosome
K562_EP_0035,chr6,80252310,80256470,K562_TE_18678,chr6,80242125,80252175,K562_MPT_11187,ENSG00000135338.9,LCA5,protein_coding,48,1.05e-22,K562,RIC-seq,cis_same_chromosome
K562_EP_0036,chr16,21510171,21577629,K562_SE_267,chr16,18932072,18946604,K562_MPT_4746,ENSG00000157106.12,SMG1,protein_coding,48,1.13e-22,K562,RIC-seq,cis_same_chromosome
K562_EP_0037,chr13,20175670,20181011,K562_TE_5852,chr13,20202788,20212821,K562_MPT_3430,ENSG00000196199.9,MPHOSPH8,protein_coding,46,5.83e-21,K562,RIC-seq,cis_same_chromosome
K562_EP_0038,chr13,108528157,108595890,K562_SE_221,chr13,108514083,108524083,K562_MPT_3632,ENSG00000204442.2,FAM155A,protein_coding,46,6.100000000000001e-21,K562,RIC-seq,cis_same_chromosome
K562_EP_0039,chr1,44505462,44519927,K562_TE_678,chr1,44492032,44521865,K562_MPT_465,ENSG00000230615.2,RP5-1198O20.4,lncRNA,44,2.57e-19,K562,RIC-seq,cis_same_chromosome
K562_EP_0040,chr7,84439385,84477729,K562_TE_20055,chr7,84500870,84510977,K562_MPT_11844,ENSG00000232605.1,HMGN2P11,pseudogene,43,1.64e-18,K562,RIC-seq,cis_same_chromosome
K562_EP_0041,chr9,124217730,124226197,K562_TE_22391,chr9,124127483,124142519,K562_MPT_13070,ENSG00000227355.1,RP11-162D16.2,lncRNA,42,1.62e-17,K562,RIC-seq,cis_same_chromosome
K562_EP_0042,chr1,17181701,17200844,K562_TE_232,chr1,16855719,16884026,K562_MPT_165,ENSG00000233421.3,U1,lncRNA,48,4.05e-17,K562,KARR-seq,cis_same_chromosome
K562_EP_0043,chr2,96675230,96701704,K562_TE_11783,chr2,97752443,97765619,K562_MPT_7486,ENSG00000144199.7,FAHD2B,protein_coding,40,5.31e-16,K562,RIC-seq,cis_same_chromosome
K562_EP_0044,chr7,75767293,75796716,K562_TE_20025,chr7,65950046,65963773,K562_MPT_11768,ENSG00000223473.1,GS1-124K5.3,lncRNA,40,5.34e-16,K562,RIC-seq,cis_same_chromosome
K562_EP_0045,chr7,99938728,99943115,K562_TE_20166,chr7,99797896,99826566,K562_MPT_11913,ENSG00000222482.1,AC005071.1,miRNA,40,5.34e-16,K562,RIC-seq,cis_same_chromosome
K562_EP_0046,chr1,25564270,25567335,K562_TE_365,chr1,25553977,25563984,K562_MPT_238,ENSG00000117614.5,SYF2,protein_coding,39,1.75e-15,K562,RIC-seq,cis_same_chromosome
K562_EP_0047,chr12,122492127,122530639,K562_SE_213,chr12,122511628,122521628,K562_MPT_3344,ENSG00000175727.9,MLXIP,protein_coding,38,9.31e-15,K562,KARR-seq,cis_same_chromosome
K562_EP_0048,chr14,50107407,50109021,K562_TE_6500,chr14,50082403,50106948,K562_MPT_3793,ENSG00000168282.4,MGAT2,protein_coding,38,9.84e-15,K562,RIC-seq,cis_same_chromosome
K562_EP_0049,chr7,66308580,66313722,K562_TE_19916,chr7,65950046,65963773,K562_MPT_11768,ENSG00000223473.1,GS1-124K5.3,lncRNA,38,9.91e-15,K562,RIC-seq,cis_same_chromosome
K562_EP_0050,chr6,26295397,26355127,K562_SE_578,chr6,26280737,26290762,K562_MPT_10882,ENSG00000158406.2,HIST1H4H,protein_coding,38,9.91e-15,K562,RIC-seq,cis_same_chromosome
K562_EP_0051,chr4,79866783,79878397,K562_TE_16200,chr4,79855548,79865592,K562_MPT_9866,ENSG00000163291.10,PAQR3,protein_coding,37,5.5e-14,K562,RIC-seq,cis_same_chromosome
K562_EP_0052,chr5,1631541,1653904,K562_TE_16818,chr5,266631,277827,K562_MPT_10142,ENSG00000248925.1,CTD-2083E4.6,lncRNA,37,5.55e-14,K562,RIC-seq,cis_same_chromosome
K562_EP_0053,chr7,102124202,102169318,K562_TE_20205,chr7,102241897,102262204,K562_MPT_11950,ENSG00000238997.1,AC105052.1,miRNA,37,5.56e-14,K562,RIC-seq,cis_same_chromosome
K562_EP_0054,chr1,142804945,142848352,K562_TE_1329,chr1,143372281,143397450,K562_MPT_799,ENSG00000238261.5,RP11-435B5.5,lncRNA,37,6.37e-14,K562,RIC-seq,cis_same_chromosome
K562_EP_0055,chr5,84748001,84749420,K562_TE_17292,chr5,84925230,84935230,K562_MPT_10366,ENSG00000265704.1,AC010595.1,miRNA,36,3.21e-13,K562,RIC-seq,cis_same_chromosome
K562_EP_0056,chr2,69809230,69861767,K562_TE_11609,chr2,217554187,217565248,K562_MPT_7877,ENSG00000115461.4,IGFBP5,protein_coding,34,7.33e-13,K562,KARR-seq,cis_same_chromosome
K562_EP_0057,chr15,66880235,66981717,K562_SE_249,chr15,66989566,66999674,K562_MPT_4363,ENSG00000137834.10,SMAD6,protein_coding,35,1.86e-12,K562,RIC-seq,cis_same_chromosome
K562_EP_0058,chr13,41736084,41736822,K562_TE_5994,chr13,41701882,41711882,K562_MPT_3509,ENSG00000165572.6,KBTBD6,protein_coding,34,7.12e-12,K562,RIC-seq,cis_same_chromosome
K562_EP_0059,chr16,21510171,21577629,K562_SE_267,chr16,87892245,87908094,K562_MPT_5131,ENSG00000103257.4,SLC7A5,protein_coding,34,8.14e-12,K562,RIC-seq,cis_same_chromosome
K562_EP_0060,chr5,53545021,53626040,K562_SE_532,chr5,53601403,53611412,K562_MPT_10256,ENSG00000185305.6,ARL15,protein_coding,29,3e-11,K562,KARR-seq,cis_same_chromosome
K562_EP_0061,chr16,85210066,85383708,K562_SE_282,chr16,85199882,85209882,K562_MPT_5115,ENSG00000262601.1,CTC-786C10.1,protein_coding,33,3.45e-11,K562,RIC-seq,cis_same_chromosome
K562_EP_0062,chr16,2703822,2737802,K562_TE_7877,chr16,2576409,2593165,K562_MPT_4639,ENSG00000205923.2,CEMP1,protein_coding,27,9.99e-11,K562,KARR-seq,cis_same_chromosome
K562_EP_0063,chr4,48287634,48307335,K562_TE_15997,chr4,48266881,48276881,K562_MPT_9778,ENSG00000135605.8,TEC,protein_coding,31,3.12e-10,K562,RIC-seq,cis_same_chromosome
K562_EP_0064,chr1,144689689,144709813,K562_TE_1348,chr1,144984309,145000082,K562_MPT_812,ENSG00000268172.1,AL590452.1,protein_coding,32,3.15e-10,K562,RIC-seq,cis_same_chromosome
K562_EP_0065,chr11,126211321,126219492,K562_TE_4634,chr11,126220555,126230869,K562_MPT_2674,ENSG00000110080.14,ST3GAL4,protein_coding,24,9.21e-10,K562,KARR-seq,cis_same_chromosome
K562_EP_0066,chr9,42250158,42252253,K562_TE_21934,chr9,70641589,70651589,K562_MPT_12871,ENSG00000269337.1,AL591479.1,protein_coding,30,9.3e-10,K562,RIC-seq,cis_same_chromosome
K562_EP_0067,chr15,91428543,91440077,K562_TE_7747,chr15,91440448,91455618,K562_MPT_4550,ENSG00000196547.10,MAN2A2,protein_coding,30,9.3e-10,K562,RIC-seq,cis_same_chromosome
K562_EP_0068,chr1,168187906,168190577,K562_TE_1678,chr1,168179643,168189643,K562_MPT_1068,ENSG00000237131.1,RP1-69E11.3,pseudogene,30,9.32e-10,K562,RIC-seq,cis_same_chromosome
K562_EP_0069,chr6,3021307,3063968,K562_SE_556,chr6,2993977,3009401,K562_MPT_10769,ENSG00000124588.15,NQO2,protein_coding,30,1.04e-09,K562,RIC-seq,cis_same_chromosome
K562_EP_0070,chr17,43656816,43679227,K562_TE_9190,chr17,62909903,62928862,K562_MPT_5762,ENSG00000176809.6,LRRC37A3,protein_coding,28,1.08e-08,K562,RIC-seq,cis_same_chromosome
K562_EP_0071,chr7,74304564,74307643,K562_TE_19990,chr7,99923500,99944531,K562_MPT_11916,ENSG00000272752.1,STAG3L5P-PVRIG2P-PILRB,lncRNA,28,1.08e-08,K562,RIC-seq,cis_same_chromosome
K562_EP_0072,chr2,85190669,85192629,K562_TE_11719,chr2,85193216,85204324,K562_MPT_7425,ENSG00000176407.13,KCMF1,protein_coding,28,1.08e-08,K562,RIC-seq,cis_same_chromosome
K562_EP_0073,chr4,123926,126110,K562_TE_15725,chr4,44850,58210,K562_MPT_9618,ENSG00000248302.2,Z95704.4,pseudogene,22,1.58e-08,K562,KARR-seq,cis_same_chromosome
K562_EP_0074,chr16,14579100,14603249,K562_TE_8004,chr16,33934259,33951021,K562_MPT_4903,ENSG00000265616.1,AC136932.2,miRNA,22,1.73e-08,K562,KARR-seq,cis_same_chromosome
K562_EP_0075,chr2,158146764,158160556,K562_TE_12198,chr2,159308214,159318624,K562_MPT_7676,ENSG00000153237.13,CCDC148,protein_coding,21,1.85e-08,K562,KARR-seq,cis_same_chromosome
K562_EP_0076,chr3,126679909,126701785,K562_TE_15091,chr3,126702437,126712437,K562_MPT_9301,ENSG00000114554.7,PLXNA1,protein_coding,21,1.95e-08,K562,KARR-seq,cis_same_chromosome
K562_EP_0077,chr1,24041711,24061665,K562_TE_332,chr1,24064645,24074962,K562_MPT_225,ENSG00000011007.8,TCEB3,protein_coding,23,6.83e-08,K562,RIC-seq,cis_same_chromosome
K562_EP_0078,chr3,52331872,52342110,K562_TE_14728,chr3,52345335,52355335,K562_MPT_9107,ENSG00000114841.13,DNAH1,protein_coding,22,7.72e-08,K562,RIC-seq,cis_same_chromosome
K562_EP_0079,chr11,117817208,117851382,K562_TE_4543,chr11,117852063,117862109,K562_MPT_2608,ENSG00000110324.5,IL10RA,protein_coding,21,8.89e-08,K562,RIC-seq,cis_same_chromosome
K562_EP_0080,chr9,45739172,45744807,K562_TE_21952,chr9,44862571,44879008,K562_MPT_12845,ENSG00000204814.5,RP11-160N1.10,protein_coding,21,8.89e-08,K562,RIC-seq,cis_same_chromosome
K562_EP_0081,chr16,74462762,74483483,K562_TE_8508,chr16,70142529,70153275,K562_MPT_5037,ENSG00000090857.9,PDPR,protein_coding,21,8.89e-08,K562,RIC-seq,cis_same_chromosome
K562_EP_0082,chr6,27082504,27095518,K562_TE_18277,chr6,27095327,27120405,K562_MPT_10900,ENSG00000124635.7,HIST1H2BJ,protein_coding,22,1.11e-07,K562,RIC-seq,cis_same_chromosome
K562_EP_0083,chr11,85802540,85930107,K562_SE_187,chr11,85950586,85961276,K562_MPT_2514,ENSG00000074266.13,EED,protein_coding,21,1.16e-07,K562,RIC-seq,cis_same_chromosome
K562_EP_0084,chr11,67079779,67089886,K562_TE_4107,chr11,67154423,67176660,K562_MPT_2380,ENSG00000172613.3,RAD9A,protein_coding,26,1.17e-07,K562,RIC-seq,cis_same_chromosome
K562_EP_0085,chr7,64494805,64506960,K562_TE_19883,chr7,65333254,65343356,K562_MPT_11763,ENSG00000196715.5,VKORC1L1,protein_coding,20,2.45e-07,K562,RIC-seq,cis_same_chromosome
K562_EP_0086,chr1,193080607,193085364,K562_TE_1878,chr1,193086147,193096147,K562_MPT_1160,ENSG00000134371.9,CDC73,protein_coding,20,2.45e-07,K562,RIC-seq,cis_same_chromosome
K562_EP_0087,chr3,128914259,128931144,K562_TE_15121,chr3,128897742,128907765,K562_MPT_9318,ENSG00000169714.12,CNBP,protein_coding,24,2.64e-07,K562,RIC-seq,cis_same_chromosome
K562_EP_0088,chr12,50432766,50445758,K562_TE_5062,chr12,50446331,50458670,K562_MPT_2952,ENSG00000110881.7,ASIC1,protein_coding,24,2.64e-07,K562,RIC-seq,cis_same_chromosome
K562_EP_0089,chr16,88938381,88973032,K562_TE_8642,chr16,88917628,88938068,K562_MPT_5144,ENSG00000141012.8,GALNS,protein_coding,24,2.69e-07,K562,RIC-seq,cis_same_chromosome
K562_EP_0090,chr6,28632682,28871154,K562_SE_587,chr6,28611042,28621843,K562_MPT_10926,ENSG00000235570.1,LINC00533,lncRNA,25,3.06e-07,K562,RIC-seq,cis_same_chromosome
K562_EP_0091,chr12,122115936,122125560,K562_TE_5714,chr12,122102560,122112560,K562_MPT_3337,ENSG00000139714.8,MORN3,protein_coding,19,4.54e-07,K562,RIC-seq,cis_same_chromosome
K562_EP_0092,chr10,75463323,75491111,K562_TE_3014,chr10,75483338,75509158,K562_MPT_1718,ENSG00000271816.1,RP11-574K11.28,lncRNA,19,4.58e-07,K562,RIC-seq,cis_same_chromosome
K562_EP_0093,chr6,27446057,27619385,K562_SE_583,chr6,27435460,27445897,K562_MPT_10906,ENSG00000096654.11,ZNF184,protein_coding,19,4.67e-07,K562,RIC-seq,cis_same_chromosome
K562_EP_0094,chr2,48097600,48100637,K562_TE_11426,chr2,190440613,190453484,K562_MPT_7777,ENSG00000138449.6,SLC40A1,protein_coding,19,8.14e-07,K562,KARR-seq,cis_same_chromosome
K562_EP_0095,chr1,51307758,51319292,K562_TE_751,chr1,156552747,156576282,K562_MPT_976,ENSG00000163382.7,APOA1BP,protein_coding,19,8.14e-07,K562,KARR-seq,cis_same_chromosome
K562_EP_0096,chr2,15711735,15725448,K562_TE_11092,chr2,15726302,15736770,K562_MPT_7117,ENSG00000079785.10,DDX1,protein_coding,18,9.52e-07,K562,RIC-seq,cis_same_chromosome
K562_EP_0097,chrX,151149702,151158603,K562_TE_23340,chrX,151138143,151148151,K562_MPT_13682,ENSG00000102287.12,GABRE,protein_coding,18,1.04e-06,K562,RIC-seq,cis_same_chromosome
K562_EP_0098,chr22,21845384,21889457,K562_SE_437,chr22,21766693,21779925,K562_MPT_8584,ENSG00000169635.5,HIC2,protein_coding,18,1.25e-06,K562,KARR-seq,cis_same_chromosome
K562_EP_0099,chr10,121376257,121377602,K562_TE_3412,chr10,121405882,121421122,K562_MPT_1914,ENSG00000151929.5,BAG3,protein_coding,17,3.13e-06,K562,RIC-seq,cis_same_chromosome
K562_EP_0100,chr5,141721761,141780423,K562_TE_17672,chr5,141698747,141709863,K562_MPT_10572,ENSG00000231185.2,AC005592.2,lncRNA,17,3.13e-06,K562,RIC-seq,cis_same_chromosome
K562_EP_0101,chr15,28833961,28837697,K562_TE_7042,chr15,20705715,20716433,K562_MPT_4097,ENSG00000180229.8,HERC2P3,pseudogene,17,3.13e-06,K562,RIC-seq,cis_same_chromosome
K562_EP_0102,chr1,661816,664568,K562_TE_12,chr1,128566,145339,K562_MPT_5,ENSG00000237683.5,AL627309.1,protein_coding,17,3.13e-06,K562,RIC-seq,cis_same_chromosome
K562_EP_0103,chr12,120668525,120697720,K562_TE_5679,chr12,64840660,64851255,K562_MPT_3088,ENSG00000183735.5,TBK1,protein_coding,16,5.03e-06,K562,RIC-seq,cis_same_chromosome
K562_EP_0104,chr12,116930411,116990727,K562_TE_5642,chr12,116992186,117002186,K562_MPT_3293,ENSG00000171471.5,MAP1LC3B2,protein_coding,16,5.03e-06,K562,RIC-seq,cis_same_chromosome
K562_EP_0105,chr7,44994417,45033267,K562_SE_649,chr7,45034784,45044787,K562_MPT_11712,ENSG00000136280.11,CCM2,protein_coding,16,5.03e-06,K562,RIC-seq,cis_same_chromosome
K562_EP_0106,chr14,103033959,103052563,K562_TE_6937,chr14,103044514,103064233,K562_MPT_4054,ENSG00000239224.2,RN7SL546P,misc_RNA,16,5.03e-06,K562,RIC-seq,cis_same_chromosome
K562_EP_0107,chr1,15742241,15803217,K562_TE_208,chr1,112292927,112308019,K562_MPT_742,ENSG00000197852.8,FAM212B,protein_coding,16,5.03e-06,K562,RIC-seq,cis_same_chromosome
K562_EP_0108,chr10,25247158,25252251,K562_TE_2656,chr10,25236513,25247170,K562_MPT_1528,ENSG00000099256.14,PRTFDC1,protein_coding,16,5.07e-06,K562,RIC-seq,cis_same_chromosome
K562_EP_0109,chrX,152673277,152677949,K562_TE_23371,chrX,152678780,152688780,K562_MPT_13697,ENSG00000189420.7,ZFP92,protein_coding,16,5.07e-06,K562,RIC-seq,cis_same_chromosome
K562_EP_0110,chr1,193012586,193022714,K562_TE_1876,chr1,95533501,95543501,K562_MPT_675,ENSG00000172339.9,ALG14,protein_coding,15,7.47e-06,K562,KARR-seq,cis_same_chromosome
K562_EP_0111,chr2,74189295,74311354,K562_SE_371,chr2,74224840,74234840,K562_MPT_7399,ENSG00000187605.11,TET3,protein_coding,15,7.47e-06,K562,KARR-seq,cis_same_chromosome
K562_EP_0112,chr12,116553715,116655574,K562_TE_5637,chr12,122176529,122186529,K562_MPT_3339,ENSG00000188735.8,TMEM120B,protein_coding,16,7.64e-06,K562,KARR-seq,cis_same_chromosome
K562_EP_0113,chr17,39820395,39852828,K562_SE_304,chr17,40415605,40433725,K562_MPT_5527,ENSG00000236194.2,AC003104.1,lncRNA,14,1.21e-05,K562,KARR-seq,cis_same_chromosome
K562_EP_0114,chr12,50056001,50068385,K562_TE_5052,chr12,33587581,33597754,K562_MPT_2879,ENSG00000110975.4,SYT10,protein_coding,14,1.21e-05,K562,KARR-seq,cis_same_chromosome
K562_EP_0115,chr2,46530420,46570715,K562_SE_364,chr2,27574113,27585055,K562_MPT_7172,ENSG00000115207.9,GTF3C2,protein_coding,14,1.21e-05,K562,KARR-seq,cis_same_chromosome
K562_EP_0116,chr10,126801223,126839727,K562_TE_3457,chr10,33239591,33257211,K562_MPT_1561,ENSG00000229656.2,RP11-462L8.1,lncRNA,14,1.73e-05,K562,KARR-seq,cis_same_chromosome
K562_EP_0117,chr1,27104572,27108989,K562_TE_396,chr1,27108963,27120419,K562_MPT_269,ENSG00000060642.6,PIGV,protein_coding,15,2.61e-05,K562,RIC-seq,cis_same_chromosome
K562_EP_0118,chr6,42167427,42169432,K562_TE_18490,chr6,42157654,42167654,K562_MPT_11086,ENSG00000112599.8,GUCA1B,protein_coding,15,2.61e-05,K562,RIC-seq,cis_same_chromosome
K562_EP_0119,chr7,145481272,145491017,K562_TE_20629,chr7,145808453,145818453,K562_MPT_12137,ENSG00000174469.13,CNTNAP2,protein_coding,15,2.61e-05,K562,RIC-seq,cis_same_chromosome
K562_EP_0120,chr15,28833961,28837697,K562_TE_7042,chr15,23373228,23383228,K562_MPT_4111,ENSG00000140181.10,HERC2P2,pseudogene,15,2.64e-05,K562,RIC-seq,cis_same_chromosome
K562_EP_0121,chr1,28897644,28917048,K562_TE_432,chr1,202124119,202142179,K562_MPT_1185,ENSG00000243323.1,PTPRVP,pseudogene,15,2.67e-05,K562,KARR-seq,cis_same_chromosome
K562_EP_0122,chr16,29591710,29668668,K562_SE_272,chr16,87892245,87908094,K562_MPT_5131,ENSG00000103257.4,SLC7A5,protein_coding,15,2.89e-05,K562,RIC-seq,cis_same_chromosome
K562_EP_0123,chr20,31193112,31290878,K562_SE_402,chr20,31164765,31180281,K562_MPT_8124,ENSG00000197183.8,C20orf112,protein_coding,15,2.91e-05,K562,RIC-seq,cis_same_chromosome
K562_EP_0124,chr11,65167965,65217131,K562_SE_178,chr11,75057749,75067873,K562_MPT_2460,ENSG00000137486.12,ARRB1,protein_coding,16,3.24e-05,K562,KARR-seq,cis_same_chromosome
K562_EP_0125,chr19,1929118,1936133,K562_TE_10210,chr19,1936188,1947464,K562_MPT_6206,ENSG00000133275.11,CSNK1G2,protein_coding,14,4.91e-05,K562,RIC-seq,cis_same_chromosome
K562_EP_0126,chr1,43838527,43841548,K562_TE_659,chr1,43819329,43838689,K562_MPT_456,ENSG00000066322.8,ELOVL1,protein_coding,14,4.91e-05,K562,RIC-seq,cis_same_chromosome
K562_EP_0127,chr4,74919584,74959595,K562_SE_514,chr4,74899406,74909406,K562_MPT_9837,ENSG00000163734.4,CXCL3,protein_coding,14,4.91e-05,K562,RIC-seq,cis_same_chromosome
K562_EP_0128,chr3,185221898,185226298,K562_TE_15591,chr3,185211775,185221845,K562_MPT_9533,ENSG00000163900.6,TMEM41A,protein_coding,14,4.91e-05,K562,RIC-seq,cis_same_chromosome
K562_EP_0129,chr6,25971016,26007638,K562_TE_18257,chr6,26011607,26038796,K562_MPT_10871,ENSG00000124529.3,HIST1H4B,protein_coding,14,4.92e-05,K562,RIC-seq,cis_same_chromosome
K562_EP_0130,chr7,135711069,135800125,K562_TE_20533,chr7,135657064,135667101,K562_MPT_12091,ENSG00000105887.10,MTPN,protein_coding,13,0.000118,K562,RIC-seq,cis_same_chromosome
K562_EP_0131,chr16,15241002,15249352,K562_TE_8023,chr16,2176852,2191130,K562_MPT_4629,ENSG00000200344.1,Y_RNA,misc_RNA,13,0.000118,K562,RIC-seq,cis_same_chromosome
